url,type,source_page
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/block/00000042/00000075.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/block/00000044/00000076.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/block/00000045/00000077.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/block/00000045/00000078.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/block/00000045/00000079.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/block/00000045/00000080.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/block/00000045/00000081.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/block/00000045/00000082.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00150000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00140000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000015/block/00000047/00000083.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00150000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000015/block/00000048/00000084.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00150000.html
